race_id,athlete_id,swim,t1,bike,t2,run,overall,notes
307376,106532,00:11:43,00:00:25,00:35:33,00:00:21,00:18:21,01:06:23,Nadezhda Klenina overall recalculated from splits
2784,14217,00:25:07,00:00:00,00:00:00,00:00:00,00:00:00,02:09:33,Carmen Ochoa has 1:43 run split; overall remains correct. TODO: Recalc run
2784,6515,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,02:09:47,Gail Laurence has 2:09 run split; overall remains correct. TODO: Recalc run
2706,10188,00:21:44,00:00:52,00:00:00,00:00:52,00:34:57,01:58:52,Isabelle Turcotte-Baird has 01:00 bike split; overall remains corect. TODO: Recalc bike
3320,7832,00:09:54,00:02:44,00:00:00,00:02:16,00:22:15,01:38:15,Laisse Stephanie Sousa has 01:01 bike split; overall remains correct. TODO: Recalc bike
327467,5370,00:00:00,00:00:30,01:10:49,00:00:29,00:38:59,02:10:51,Beatrice Lanza has 00:01 swim split; overall remains correct. TODO: Recalc swim
2087,8616,00:23:22,00:00:00,00:00:00,00:01:03,00:39:00,02:14:08,Kelly Couch has 01:40 run split; overall remains correct. TODO: Recalc bike
2830,9717,00:21:44,00:00:00,00:00:00,00:00:00,00:00:00,02:08:14,Justine Whipple has 01:46 run split; overall remains correct
5685,18758,00:13:01,00:00:29,00:32:38,00:00:24,00:00:00,01:48:36,Jip Veelenturf has 01:01 run split; overall remains correct. TODO: Recalc run
8183,44627,00:00:00,00:00:00,00:00:00,00:00:00,00:51:23,02:28:25,Zoya Kasheeva has nonsensical splits other than run and overall; othes removed for consistency
8183,41579,00:00:00,00:00:00,00:00:00,00:00:00,00:52:51,02:29:51,Ece Calp has nonsensical splits other than run and overall; others removed for consistency
265574,58811,00:09:36,00:00:00,00:00:00,00:00:00,00:19:02,01:06:25,Andrea Berenice Gutierrez Gonzalez bike time is split across T1 and bike; both removed for consistency
265574,57824,00:09:48,00:00:00,00:00:00,00:00:00,00:19:08,01:06:31,Vanesa De La Torre bike time is split across T1 and bike; both removed for consistency
265574,73426,00:09:09,00:00:00,00:00:00,00:00:00,00:20:06,01:07:32,Lizeth Rueda Santos bike time is split across T1 and bike; both removed for consistency
265574,80418,00:09:46,00:00:00,00:00:00,00:00:00,00:22:59,01:10:55,Sandra Ruiz bike time is split across T1 and bike; both removed for consistency
259502,57823,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,01:06:38,Valeria Antuna has 01:07 run split; removed for constistency
264780,47782,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,02:05:20,Luisa Baptista has 02:05 run split; removed for consistency
264796,47782,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,02:05:20,Luisa Baptista has 02:05 run split; removed for consistency
264797,73283,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,1:03:40,Veronique Demers has 01:04 run split; removed for consistency
270907,6963,00:19:52,00:00:21,00:00:00,00:00:23,00:34:38,01:56:31,Irina Abysova has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,9852,00:19:51,00:00:20,00:00:00,00:00:20,00:35:08,01:57:01,Alexandra Razarenova has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,14196,00:19:56,00:00:20,00:00:00,00:00:20,00:35:31,01:57:23,Mariya Shorets has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,46579,00:19:12,00:00:23,00:00:00,00:00:20,00:35:49,01:57:43,Anastasia Abrosimova has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,75637,00:19:58,00:00:22,00:00:00,00:00:23,00:36:46,01:58:40,Liubov Polyanskaya has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,17984,00:20:38,00:00:24,00:00:00,00:00:22,00:33:44,01:59:21,Arina Shulgina has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,110113,00:19:52,00:00:20,00:00:00,00:00:21,00:38:43,02:00:37,Inna Tutukina has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,9819,00:20:40,00:00:25,00:00:00,00:00:23,00:36:21,02:01:57,Anna Burova has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,9817,00:20:45,00:00:26,00:00:00,00:00:35,00:40:18,02:06:15,Olga Dmitrieva has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,49078,00:19:10,00:00:27,00:00:00,00:00:22,00:36:56,01:58:53,Anastasia Gorbunova has incorrect bike time; removed for consistency.
270907,29844,00:20:37,00:00:24,00:00:00,00:00:27,00:36:38,02:02:21,Anastasia Polyanskaya Protasenya has incorrect bike time; removed for consistency.
270907,29843,00:20:40,00:00:20,00:00:00,00:00:26,00:38:36,02:04:19,Olga Agapova has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,70468,00:19:57,00:00:22,00:00:00,00:00:26,00:40:11,02:05:56,Maria Molyarova has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,26398,00:20:41,00:00:24,00:00:00,00:00:25,00:41:08,02:06:47,Anastasiya Vasilyeva has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,50029,00:21:23,00:00:23,00:00:00,00:00:25,00:39:00,02:07:24,Elena Lokhmanova has incorrect bike time; removed for consistency. TODO: Recalc bike
270907,76350,00:22:43,00:00:48,00:00:00,00:01:06,00:39:45,02:10:35,Oxana Kucherenko has incorrect bike time; removed for consistency. TODO: Recalc bike
282479,80108,00:27:52,00:01:27,00:00:00,00:00:44,00:43:18,02:30:52,Martina Olcheski-Bell has incorrect bike time; removed for consistency. TODO: Recalc bike
282479,49937,00:31:43,00:00:49,00:00:00,00:00:50,00:42:53,02:31:19,Julia Hawley has incorrect bike time; removed for consistency. TODO: Recalc bike
