race_id,reason
4430,Elite results combined with AG
4488,Elite results combined with AG
4308,Elite results combined with AG
585505,Elite results combined with AG
675092,Separate U23 results within Elite race
629180,Seperate Junior results within Elite race
4498,Elite results combined with AG
349666,Canadian Championships results taken from within Continental Cup
378355,Central American and Carribean Championships taken from within Continental Cup
,,571588,Elite results combined with AG
